Person_Auswertung;Kamerastandort;ID_Foto;Datum;Stunde;Art;Anzahl;Richtung;Aktivität;Begleittier;Wildtier
Bsp;west;bsp_080;12.10.2020;6;Mensch;2;Bergauf;Unbestimmbar;Hund_angeleint;0
Bsp;west;bsp_081;07.10.2020;1;Mensch;9;Unbestimmbar;Biker;0;0
Bsp;west;bsp_082;07.10.2020;8;Mensch;8;Bergab;Spaziergänger;Anderes;0
Bsp;west;bsp_083;07.10.2020;11;Wildtier;1;Unbestimmbar;0;0;Reh
Bsp;west;bsp_084;11.10.2020;22;Wildtier;4;Bergauf;0;0;Hase
Bsp;west;bsp_085;08.10.2020;22;Wildtier;6;Unbestimmbar;0;0;Anderes
Bsp;west;bsp_086;09.10.2020;18;Wildtier;7;Unbestimmbar;0;0;Fuchs
Bsp;west;bsp_087;11.10.2020;15;Wildtier;6;Bergauf;0;0;Reh
Bsp;west;bsp_088;09.10.2020;16;Mensch;7;Unbestimmbar;Spaziergänger;Hund_angeleint;0
Bsp;west;bsp_089;08.10.2020;24;Mensch;4;Bergab;Unbestimmbar;Hund_ohne_Leine;0
Bsp;west;bsp_090;11.10.2020;24;Wildtier;10;Bergab;0;0;Hase
Bsp;west;bsp_091;11.10.2020;22;Wildtier;7;Bergab;0;0;Fuchs
Bsp;west;bsp_092;11.10.2020;7;Mensch;4;Unbestimmbar;Anderes;Hund_angeleint;0
Bsp;west;bsp_093;07.10.2020;4;Wildtier;10;Unbestimmbar;0;0;Fuchs
Bsp;west;bsp_094;08.10.2020;9;Mensch;4;Bergauf;Anderes;Anderes;0
Bsp;west;bsp_095;06.10.2020;1;Wildtier;8;Bergauf;0;0;Fuchs
Bsp;west;bsp_096;09.10.2020;10;Mensch;1;Bergauf;Anderes;Hund_ohne_Leine;0
Bsp;west;bsp_097;06.10.2020;20;Wildtier;1;Bergauf;0;0;Fuchs
Bsp;west;bsp_098;11.10.2020;6;Wildtier;5;Bergab;0;0;Hase
Bsp;west;bsp_099;10.10.2020;19;Mensch;0;Bergab;Landwirtschaft;0;0
Bsp;west;bsp_100;09.10.2020;2;Wildtier;2;Bergauf;0;0;Anderes
